## # rand # queue # front
100 12.4 27.73 20.4
1000 21.3 65.93 67.1
5000 28 113.5 86.6
10000 31.23 128.3 105.5
50000 39.47 164.9 134.5
100000 43.2 182.5 148.3
500000 52.2 207.5 189.3
1000000 56.31 221.8 208.9
